champion_id,champion_name,patch,games_played,wins,bans,winrate,pickrate,banrate,opgg_winrate,opgg_pickrate,opgg_banrate,opgg_tier,top_games,jungle_games,mid_games,adc_games,support_games,updated_at,opgg_updated_at
238,Zed,15.9,4,1,14,0.25,0.006153846153846154,0.02153846153846154,0.4577,0.0359,0.1475,C,0,3,1,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
268,Azir,15.9,4,3,0,0.75,0.006153846153846154,0.0,0.4585,0.048,0.0062,C,0,0,4,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
518,Neeko,15.9,4,2,0,0.5,0.006153846153846154,0.0,0.5369,0.0067,0.0751,S,0,0,1,0,3,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
523,Aphelios,15.9,4,2,0,0.5,0.006153846153846154,0.0,0.4993,0.1021,0.0159,A,0,0,0,4,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
777,Yone,15.9,4,1,9,0.25,0.006153846153846154,0.013846153846153847,0.4878,0.0679,0.0339,B,0,0,4,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
901,Smolder,15.9,4,3,0,0.75,0.006153846153846154,0.0,0.4892,0.0526,0.0059,C,1,0,0,3,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
910,Hwei,15.9,4,4,3,1.0,0.006153846153846154,0.004615384615384616,0.503,0.0478,0.0195,A,0,0,3,1,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
950,Naafiri,15.9,4,1,35,0.25,0.006153846153846154,0.05384615384615384,0.4965,0.0266,0.0537,B,0,4,0,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
2,Olaf,15.9,3,1,8,0.3333333333333333,0.004615384615384616,0.012307692307692308,0.5421,0.0287,0.016,S,2,0,1,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
3,Galio,15.9,3,1,0,0.3333333333333333,0.004615384615384616,0.0,0.4992,0.0536,0.02,A,0,0,3,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
10,Kayle,15.9,3,1,3,0.3333333333333333,0.004615384615384616,0.004615384615384616,,,,,0,0,3,0,0,2025-12-10 14:32:18,
12,Alistar,15.9,3,3,0,1.0,0.004615384615384616,0.0,0.5027,0.079,0.019,A,0,0,0,0,3,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
16,Soraka,15.9,3,2,0,0.6666666666666666,0.004615384615384616,0.0,0.4987,0.0321,0.0142,B,0,0,0,0,3,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
35,Shaco,15.9,3,3,7,1.0,0.004615384615384616,0.01076923076923077,0.5202,0.0202,0.2042,A,0,3,0,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
67,Vayne,15.9,3,1,1,0.3333333333333333,0.004615384615384616,0.0015384615384615385,0.5055,0.0153,0.007,C,0,0,0,3,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
76,Nidalee,15.9,3,1,0,0.3333333333333333,0.004615384615384616,0.0,0.5348,0.0814,0.1424,S,1,2,0,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
78,Poppy,15.9,3,2,4,0.6666666666666666,0.004615384615384616,0.006153846153846154,0.537,0.0509,0.1623,S,0,2,0,0,1,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
84,Akali,15.9,3,0,3,0.0,0.004615384615384616,0.004615384615384616,0.5006,0.0775,0.0849,A,2,0,1,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
113,Sejuani,15.9,3,0,0,0.0,0.004615384615384616,0.0,0.4697,0.0127,0.002,C,1,2,0,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
142,Zoe,15.9,3,1,2,0.3333333333333333,0.004615384615384616,0.003076923076923077,0.5383,0.0571,0.1702,S,0,0,3,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
143,Zyra,15.9,3,3,1,1.0,0.004615384615384616,0.0015384615384615385,0.5498,0.0198,0.0188,A,0,3,0,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
163,Taliyah,15.9,3,3,1,1.0,0.004615384615384616,0.0015384615384615385,0.5,0.0145,0.0069,B,0,0,3,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
