elo,server,patch,label,name,role,role_pickrate,tier,winrate,winrate_evol,pickrate,games
TOUT,TOUT,16.3,124,Yasuo,top,18.9%,C,48.9%,-0.3%,2.8%,254 593
TOUT,TOUT,16.3,125,Trundle,jun,46.8%,C,50.6%,+1.6%,2.0%,179 062
TOUT,TOUT,16.3,126,Ezreal,adc,95.3%,C,47.4%,+1.4%,12.1%,1 081 935
TOUT,TOUT,16.3,127,Leblanc,mid,88.3%,C,48.8%,+0.0%,3.5%,313 084
TOUT,TOUT,16.3,128,Warwick,top,17.9%,C,50.3%,+0.3%,1.0%,93 789
TOUT,TOUT,16.3,129,Gangplank,top,89.7%,D,49.6%,+0.0%,4.3%,388 169
TOUT,TOUT,16.3,130,Wukong,jun,75.1%,D,50.5%,-0.1%,2.4%,213 351
TOUT,TOUT,16.3,131,Akali,top,21.8%,D,48.9%,-0.5%,2.1%,189 557
TOUT,TOUT,16.3,132,Galio,mid,81.7%,D,49.7%,-0.4%,4.2%,373 820
TOUT,TOUT,16.3,133,Sylas,mid,54.5%,D,48.3%,+0.1%,5.4%,482 775
TOUT,TOUT,16.3,134,Kennen,top,76.8%,D,50.1%,+0.6%,2.5%,225 257
TOUT,TOUT,16.3,135,Elise,jun,73.0%,D,50.5%,+0.1%,1.7%,152 803
TOUT,TOUT,16.3,136,Senna,sup,85.3%,D,49.6%,+0.3%,4.5%,401 767
TOUT,TOUT,16.3,137,Draven,adc,96.1%,D,48.3%,+1.2%,3.6%,326 352
TOUT,TOUT,16.3,138,Olaf,top,86.8%,D,50.3%,-0.0%,1.9%,168 233
TOUT,TOUT,16.3,139,Ivern,jun,78.9%,D,50.6%,+0.3%,1.0%,93 693
TOUT,TOUT,16.3,140,Rek'Sai,jun,89.0%,D,50.4%,+0.2%,1.6%,140 333
TOUT,TOUT,16.3,141,Vladimir,mid,60.1%,D,49.6%,+0.1%,2.4%,213 806
TOUT,TOUT,16.3,142,Hwei,mid,78.6%,D,49.9%,+0.1%,2.7%,242 686
TOUT,TOUT,16.3,143,Evelynn,jun,98.0%,D,49.8%,-0.2%,2.5%,220 460
TOUT,TOUT,16.3,144,Tristana,adc,91.0%,D,48.9%,+0.1%,5.4%,482 418
TOUT,TOUT,16.3,145,Sylas,jun,33.4%,D,48.5%,+0.4%,3.3%,296 267
TOUT,TOUT,16.3,146,Varus,top,32.7%,D,48.2%,-4.0%,2.9%,256 972
TOUT,TOUT,16.3,147,Lissandra,mid,89.7%,D,49.9%,-0.1%,2.5%,226 092
TOUT,TOUT,16.3,148,Twisted Fate,mid,91.6%,D,49.8%,+0.1%,3.1%,276 538
TOUT,TOUT,16.3,149,LeeSin,jun,93.5%,D,47.9%,-0.1%,6.9%,614 845
TOUT,TOUT,16.3,150,Cho'Gath,top,67.7%,D,49.5%,+0.3%,3.4%,301 576
TOUT,TOUT,16.3,151,Tahm Kench,top,47.3%,D,49.1%,-0.4%,3.4%,306 637
TOUT,TOUT,16.3,152,Bard,sup,99.0%,D,49.1%,+0.3%,4.6%,408 480
TOUT,TOUT,16.3,153,Talon,mid,36.9%,D,50.0%,+0.1%,1.3%,120 732
TOUT,TOUT,16.3,154,Tahm Kench,sup,49.3%,D,49.0%,+0.1%,3.6%,319 432
TOUT,TOUT,16.3,155,Ziggs,mid,33.3%,D,50.2%,-0.2%,1.0%,91 275
TOUT,TOUT,16.3,156,Renata,sup,99.0%,D,50.3%,-0.4%,1.1%,96 948
