Nom,Heure,Fréquence,Action
\Microsoft\Windows\Application Experience\SdbinstMergeDbTask,00:00,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\sdbinst.exe -mm
\Microsoft\Windows\Application Experience\SdbinstMergeDbTask,00:00,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\sdbinst.exe -mm
\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Manual),00:00,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\International\Synchronize Language Settings,00:03,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\ExploitGuard\ExploitGuard MDM policy Refresh,00:03,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\ExploitGuard\ExploitGuard MDM policy Refresh,00:03,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\ExploitGuard\ExploitGuard MDM policy Refresh,00:03,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Subscription\EnableLicenseAcquisition,00:03,Les données de planification ne sont pas disponibles dans ce format.,%SystemRoot%\system32\ClipRenew.exe -e
\Microsoft\Windows\Subscription\EnableLicenseAcquisition,00:03,Les données de planification ne sont pas disponibles dans ce format.,%SystemRoot%\system32\ClipRenew.exe -e
\Microsoft\Windows\Network Connectivity Status Indicator\NcsiIdentifyUserProxies,00:03,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Plug and Play\Device Install Reboot Required,00:03,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Plug and Play\Device Install Reboot Required,00:03,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Network Connectivity Status Indicator\NcsiIdentifyUserProxies,00:03,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\ASUS\P508PowerAgent_sdk,00:03,Les données de planification ne sont pas disponibles dans ce format.,C:\Program Files (x86)\ASUS\ArmouryDevice\dll\ShareFromArmouryIII\Mouse\ROG STRIX CARRY\P508PowerAgent.exe
\Microsoft\Windows\Network Connectivity Status Indicator\NcsiIdentifyUserProxies,00:03,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Multimedia\SystemSoundsService,00:03,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\AccountHealth\RecoverabilityToastTask,00:03,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\MemoryDiagnostic\AutomaticOfflineMemoryDiagnostic,00:03,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Subscription\EnableLicenseAcquisition,00:03,Les données de planification ne sont pas disponibles dans ce format.,%SystemRoot%\system32\ClipRenew.exe -e
