SummonerName,PUUID,LeagueId,LeaguePoints,Wins,Losses,Rank
,Lq4SRzbN_ecAJkTuIi8iLCyW7n2_F7qigNiRFEFWo591yLII3zPKkcsc3YJUJ6apYDtwvB-RqWJztQ,19848796-7440-4f95-8041-2cb09b5aa341,11,83,76,I
,2vAIJH2aElOdzSHJL1sKTalyNUxHUJRyNxzxAwPto8lTQwsbNEgr20NjXnc-K6tPQzbgRxiSDCQ1gw,7ac71642-e557-40f9-9cfa-40d603cc9d19,96,141,134,I
,ueQ6lMuvTNFQSBlHEngovKpnGvjZxTyYEY61nscUXiNB2HkXeQu4XPzQofGV0LFKF5NR7aD82wv2pQ,809ca05a-f071-476d-b5e9-9d640e69a6af,55,56,70,I
,mVnHntGU90rvdTgFldqC9HYs5dRToRGYBDHPonZt_Q1x8fLYxz6y_t0ZhFBkxB5p_8D4BIPPQRfQNQ,0d393a17-9261-4d23-b7eb-b4dffe8aa799,75,177,165,I
,Q3PP932rpgodK2rk7Z1xraZCoPer_UlkhGSl9xNnEbHgy293ultMWn4zUymqGEwxBmlzHzdE-0bihg,06d861f4-45d2-4e11-af09-bd8fb2e74bb1,75,82,57,I
,FiOR6ocQiT1JgvdIXSN9m9xP5u0MRqQWIcsCuHEvNrG9WvdY6af8g1CdQ5gCcsLIiMr8utJkc1vQwQ,f77f3e34-8f03-449a-9c32-6f86480c557a,27,169,155,I
,KtAk036sTQjeUP1nWjP9eBxg_Xai6AhJHI3Ez8LR-PneqTuNX46h2bwyye5NlzkrPciZhxp3kn2lWw,0bfc0e19-8123-4a5d-a13b-8864e8afe66b,75,336,312,I
,6oQAzhfUdAWNHYxLTXJa5ayVs_hOUhsYmXM8XDuvTNoAg7hDUDZVlIyUDOO71Wxne_vgY2puvht2TQ,5a8f9eec-785d-49aa-bbb2-5b5fedee0eeb,75,128,111,I
,PAO4MbhbHtYkcAp639dePnnK-4qcJdW8N6uqVqApNT9aFUBIByXe3051HZZd95WOTe5PMbQtfqDZLA,e28a4cc1-f06a-46f2-b3c7-335d414c69ec,30,186,192,I
,JYbq2qlPazEW-QtGW2q9YvxupicqfmT_V_j6Z48yFDbOFfjY6oP6OFgGLIjTUYZZs5-WGdcTMlfQ8w,31861c2a-f546-4997-b31d-7b0132c60802,38,102,97,I
